article_id,group_id_type,reprint_type
TheRecorder1887,TheTimes1887_reprint,direct
MexicoWeeklyLedger1887,TheTimes1887_reprint,direct
SundayGlobe1887,TheTimes1887_reprint,direct
GalvestonDailyNews1887,TheTimes1887_reprint,direct
TheDemocraticPress1887,TheTimes1887_reprint,direct
TheBarberCountyIndex1887,TheTimes1887_reprint,direct
LosAngelesHerald1891,TheWeeklyFreePress1891_reprint,direct
TheMorningPress1892,SanFranciscoExaminer1892_reprint,direct
TheSun1892,SanFranciscoExaminer1892_reprint,direct
TheEveningStar1892,SanFranciscoExaminer1892_reprint,direct
SullivanRepublican1892,SanFranciscoExaminer1892_reprint,direct
DemocratAndChronicle1892,SanFranciscoExaminer1892_reprint,direct
TheSmithfieldHerald1892,SanFranciscoExaminer1892_reprint,direct
ArkansasCityTraveler1892,SanFranciscoExaminer1892_reprint,direct
TheOmahaDailyBee1892,SanFranciscoExaminer1892_reprint,direct
TheStPaulDailyNews1892,SanFranciscoExaminer1892_reprint,direct
ChicagoDailyTribune1892,SanFranciscoExaminer1892_reprint,direct
TheWichitaDailyEagle1892,SanFranciscoExaminer1892_reprint,direct
TheUpperDesMoines1892,SanFranciscoExaminer1892_reprint,direct
BismarckDailyTribune1892,SanFranciscoExaminer1892_reprint,direct
CurrentLiterature1892,SanFranciscoExaminer1892_reprint,direct
TimesOfIndia1892,SanFranciscoExaminer1892_reprint,direct
EveningNews1892,SanFranciscoExaminer1892_reprint,direct
TheTimaruHerald1892,SanFranciscoExaminer1892_reprint,direct
ThamesAdvertiser1892,SanFranciscoExaminer1892_reprint,direct
MillennialStar1892,SanFranciscoExaminer1892_reprint,direct
TheOtagoWitness1892,SanFranciscoExaminer1892_reprint,direct
LakeWakatipMail1892,SanFranciscoExaminer1892_reprint,direct
DemocratAndChronicle1894,SanFranciscoChronicle1894_reprint,direct
WeeklyIrishTimes1896,NewYorkHerald1896_reprint,direct
TheSaintPaulGlobe1896,NewYorkHerald1896_reprint,direct
MEDudley1901,FHDudley1901_reprint,direct
MEDudley1901_TEJ,FHDudley1901_reprint,direct
DemocraticHerald1901,FHDudley1901_reprint,direct
