article_id,group_reprint_id
GalvestonDailyNews1885,Witter1885_DAC_reprint
TheIndianaStateSentinel1885,Witter1885_DAC_reprint
TheKansasCityEveningStar1885,Witter1885_DAC_reprint
NewHampshireSentinel1885,Witter1885_DAC_reprint
WeeklyNewsAndDemocrat1885,Witter1885_DAC_reprint
UticaObserver1885,Witter1885_DAC_reprint
TheAmsterdamDailyDemocrat1885,Witter1885_DAC_reprint
TheTopekaDailyCapital1885,Witter1885_DAC_reprint
OswegoTimesExpress1885,Witter1885_DAC_reprint
NewsAndCitizen1885,Witter1885_DAC_reprint
CortlandNews1885,Witter1885_DAC_reprint
MadisonCountyTimes1885,Witter1885_DAC_reprint
BismarckDailyTribune1885,Witter1885_DAC_reprint
TheDawn1881,Witter1885_DAC_reprint
CambriaFreeman1885,Witter1885_DAC_reprint
SaltLakeEveningDemocrat1885,Witter1885_DAC_reprint
ReadingTimes1885,Witter1885_DAC_reprint
Ventura Free Press,Ventura Free Press_reprint
TheTimes1887,Ventura Free Press_reprint
TheOmahaDailyBee1887,Ventura Free Press_reprint
TheRecorder1887,Ventura Free Press_reprint
FortWorthDailyGazette1887,Ventura Free Press_reprint
MexicoWeeklyLedger1887,Ventura Free Press_reprint
SundayGlobe1887,Ventura Free Press_reprint
GalvestonDailyNews1887,Ventura Free Press_reprint
TheDemocraticPress1887,Ventura Free Press_reprint
TheWorthingtonAdvance1887,Ventura Free Press_reprint
TheBarberCountyIndex1887,Ventura Free Press_reprint
TheWeeklyFreePress1891,TheWeeklyFreePress1891_reprint
LosAngelesHerald1891,TheWeeklyFreePress1891_reprint
ChicagoDailyTribune1891,TheWeeklyFreePress1891_reprint
Blanco1882_TIS,Blanco1882_TIS_reprint
Blanco1882,Blanco1882_TIS_reprint
Miller1891,Miller1891_reprint
Yates1892_29Feb,Miller1891_reprint
SanFranciscoExaminer1892,SanFranciscoExaminer1892_reprint
IllustratedAmerican1892,SanFranciscoExaminer1892_reprint
TheMorningPress1892,SanFranciscoExaminer1892_reprint
TheSun1892,SanFranciscoExaminer1892_reprint
TheEveningStar1892,SanFranciscoExaminer1892_reprint
SullivanRepublican1892,SanFranciscoExaminer1892_reprint
DemocratAndChronicle1892,SanFranciscoExaminer1892_reprint
TheSmithfieldHerald1892,SanFranciscoExaminer1892_reprint
