object_id,article_id,image_display_template,image_parent_id,image_file,image_object_location
BangorDailyWhigAndCourier1885_img6,BangorDailyWhigAndCourier1885,image,BangorDailyWhigAndCourier1885_Original,BangorDailyWhigAndCourier1885_DigSur_6.png,objects/BangorDailyWhigAndCourier1885/BangorDailyWhigAndCourier1885_DigSur_6.png
BelvidereStandard1853_Original,BelvidereStandard1853,compound_object,,BelvidereStandard1853_DigSur_1.png,objects/BelvidereStandard1853/BelvidereStandard1853_DigSur_1.png
BelvidereStandard1853_img1,BelvidereStandard1853,image,BelvidereStandard1853_Original,BelvidereStandard1853_DigSur_1.png,objects/BelvidereStandard1853/BelvidereStandard1853_DigSur_1.png
BelvidereStandard1853_img2,BelvidereStandard1853,image,BelvidereStandard1853_Original,BelvidereStandard1853_DigSur_2.png,objects/BelvidereStandard1853/BelvidereStandard1853_DigSur_2.png
Bennett1898_Original,Bennett1898,compound_object,,Bennett1898_DigSur_1.png,objects/Bennett1898/Bennett1898_DigSur_1.png
Bennett1898_img1,Bennett1898,image,Bennett1898_Original,Bennett1898_DigSur_1.png,objects/Bennett1898/Bennett1898_DigSur_1.png
Bennett1898_img2,Bennett1898,image,Bennett1898_Original,Bennett1898_DigSur_2.png,objects/Bennett1898/Bennett1898_DigSur_2.png
Bennett1898_img3,Bennett1898,image,Bennett1898_Original,Bennett1898_DigSur_3.png,objects/Bennett1898/Bennett1898_DigSur_3.png
Bennett1898_img4,Bennett1898,image,Bennett1898_Original,Bennett1898_DigSur_4.png,objects/Bennett1898/Bennett1898_DigSur_4.png
Bennett1898_img5,Bennett1898,image,Bennett1898_Original,Bennett1898_DigSur_5.png,objects/Bennett1898/Bennett1898_DigSur_5.png
Bennett1898_img6,Bennett1898,image,Bennett1898_Original,Bennett1898_DigSur_6.png,objects/Bennett1898/Bennett1898_DigSur_6.png
Bennett1898_img7,Bennett1898,image,Bennett1898_Original,Bennett1898_DigSur_7.png,objects/Bennett1898/Bennett1898_DigSur_7.png
Bennett1898_img8,Bennett1898,image,Bennett1898_Original,Bennett1898_DigSur_8.png,objects/Bennett1898/Bennett1898_DigSur_8.png
Bennett1898_img9,Bennett1898,image,Bennett1898_Original,Bennett1898_DigSur_9.png,objects/Bennett1898/Bennett1898_DigSur_9.png
Bennett1898_img10,Bennett1898,image,Bennett1898_Original,Bennett1898_DigSur_10.png,objects/Bennett1898/Bennett1898_DigSur_10.png
Bennett1898_img11,Bennett1898,image,Bennett1898_Original,Bennett1898_DigSur_11.png,objects/Bennett1898/Bennett1898_DigSur_11.png
